genome,guild_id,ontology,CUE,rgrowth
72942.212.1_72942.10.1_Streptomyces_HA41_2561511090.assembly,guild_1,free amino acids,0.5722265212590695,0.0020668848514048283
72942.212.1_72942.11.1_Solirubrobacterales_HD59_2558860160.assembly,guild_2,free amino acids,0.4978249557733443,0.0014894829260203495
72942.212.1_72942.2.1_Geodermatophilaceae_HB48_2562617054.assembly,guild_3,free amino acids,0.4976383269011007,0.1468706643807897
72942.212.1_72942.22.1_Dongia_HE60_2556921676.assembly,guild_4,free amino acids,0.45746271918407044,0.001332699454977268
72942.212.1_72942.23.1_Intrasporangiaceae_HB13_2558309151.assembly,guild_5,free amino acids,0.6036603548045965,0.0022482330556965625
72942.212.1_72942.24.1_Cellulomonas_HE23_2556921112.assembly,guild_6,free amino acids,0.463952185768028,0.001777187009372251
72942.212.1_72942.25.1_Geodermatophilaceae_HA31_2556921099.assembly,guild_7,free amino acids,0.6016629346478403,0.10624018389327296
72942.212.1_72942.26.1_Sphingomonas_HD57_2556921109.assembly,guild_8,free amino acids,0.45876221088634495,0.0013973239104719197
72942.212.1_72942.27.1_Staphylococcus_HA57_2556921095.assembly,guild_9,free amino acids,0.42018615517849134,0.001565890335917797
72942.212.1_72942.28.1_Mycobacterium_HB44_2556921043.assembly,guild_10,free amino acids,0.5912024663764754,0.0016638960069918953
72942.212.1_72942.3.1_Blastococcus_HD36_2561511235.assembly,guild_11,free amino acids,0.5927225657468025,0.0018988970855037398
72942.212.1_72942.31.1_Mesorhizobium_HC08_2556921042.assembly,guild_12,free amino acids,0.5934248188252618,0.001748117720217431
72942.212.1_72942.37.1_Pseudomonas_HB15_2556921040.assembly,guild_13,free amino acids,0.5940714260713085,0.004056411091131439
72942.212.1_72942.38.1_Paenibacillus_HA14_2556921041.assembly,guild_14,free amino acids,0.5562119754803968,0.0024117553567963358
72942.212.1_72942.39.1_Acidobacteria_HE68_2556921018.assembly,guild_15,free amino acids,0.5874556177122241,0.001702928390751193
72942.212.1_72942.4.1_Nocardioides_HA20_2558860971.assembly,guild_16,free amino acids,0.44870791267341315,0.0013790559851383911
72942.212.1_72942.40.1_Geodermatophilaceae_HB62_2556921017.assembly,guild_17,free amino acids,0.4166390113235014,0.001341091222281914
72942.212.1_72942.42.1_Variovorax_HB20_2556921005.assembly,guild_18,free amino acids,0.44828862814807385,0.0012926064441964435
72942.212.1_72942.43.1_Bradyrhizobium_HA13_2546825533.assembly,guild_19,free amino acids,0.5900117042420769,0.0016647061073546828
72942.212.1_72942.44.1_Lysobacter_HA19_2523231029.assembly,guild_20,free amino acids,0.471442390512987,0.0015901397868785783
72942.212.1_72942.45.1_Rhodospirillales_HD88_2546825534.assembly,guild_21,free amino acids,0.30658246482294377,0.0008492999546220353
72942.212.1_72942.46.1_Comamonadaceae_HA28_2523231025.assembly,guild_22,free amino acids,0.5923901175206221,0.0018589260995483842
72942.212.1_72942.5.1_Bradyrhizobium_HD69_2561511129.assembly,guild_23,free amino acids,0.4575020994991801,0.0012874753161823435
72942.212.1_72942.55.1_Sphingomonas_HD07_2523231013.assembly,guild_24,free amino acids,0.38804298917630903,0.0011805085195230641
72942.212.1_72942.57.1_Cellulomonas_HD24_2522572149.assembly,guild_25,free amino acids,0.4669017586035934,0.0016830120462296974
